id_datacenter,nome_datacente,estado,cidade,link_datacenter
dc_ef06bc479b,Ascenty Sumaré 1,SP,Sumaré,https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-1/
dc_211c584638,Ascenty Sumaré 2,SP,Sumaré,https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-2/
dc_23c0e2a666,Ascenty Hortolândia 2,SP,Hortolândia,https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-2/
dc_3357273eaa,Ascenty Hortolândia 3,SP,Hortolândia,https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-3/
dc_541dfaf17f,Ascenty Paulínia 1,SP,Paulínia,https://www.datacentermap.com/brazil/campinas/r-sebasti%C3%A3o-cardoso/
dc_5ee8bb7ed9,Ascenty Vinhedo 1,SP,Vinhedo,https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/
dc_1e8c6816f0,Ascenty Jundiaí 2,SP,Jundiaí,https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/
dc_a2fa58a743,Ascenty Vinhedo 2,SP,Vinhedo,https://www.datacentermap.com/brazil/campinas/ascenty-vin02/
dc_363da00599,Ascenty São Paulo 3,SP,Osasco,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/
dc_dd22938cb6,Equinix SP5x,SP,Santana de Parnaíba,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/
dc_2b7c5d95d1,Ascenty Hortolândia 4,SP,Hortolândia,https://www.datacentermap.com/brazil/campinas/ascenty-htl04/
dc_6fba998120,Ascenty Hortolândia 5,SP,Hortolândia,https://www.datacentermap.com/brazil/campinas/ascenty-htl05/
dc_f7606e1e75,Ascenty São Paulo 4,SP,Osasco,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/
dc_2858682b7b,Scala Campus Tamboré,SP,Barueri,https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/
dc_c81b687e80,Scala SGIGSM01,RJ,São João de Meriti,https://www.datacentermap.com/brazil/rio-de-janeiro/scala-sgigsm01/
dc_708ead2d07,Scala SPOAPA01,RS,Porto Alegre,https://www.datacentermap.com/brazil/porto-alegre/scala-spoapa01/
dc_9977316327,Equinix RJ3,RJ,São João de Meriti,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/
dc_c79290add5,RT-One Uberlândia,MG,Uberlândia,https://www.datacentermap.com/brazil/uberlandia/rt-one-uberlndia/
dc_bc34fbde0a,Data Center ByteDance / Pecém,CE,São Gonçalo do Amarante,https://www.datacentermap.com/brazil/fortaleza/casa-dos-ventos-data-center/
dc_166467565d,Scala AI City,RS,Eldorado do Sul,https://www.datacentermap.com/brazil/porto-alegre/scala-ai-city/
