id_datacenter;nome_datacenter;operadora;endereco;cep;cidade;estado;mercado;pais;latitude;longitude;descricao;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_sqm;whitespace_referenciado_sqm;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_sqm;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id
dc_166467565d;Scala AI City;Scala Data Centers;Rodovia Osvaldo Aranha;92990-000;Eldorado do Sul;;Porto Alegre;Brazil;-30.07425077314578;-51.49400150419427;"Scala AI City, located in Eldorado do Sul, metropolitan region of Porto Alegre, Brazil, is a groundbreaking digital infrastructure project by Scala Data Centers. Representing a significant investment, starting with $500 million in its first phase, this ""data center city"" is poised to become the largest and most innovative in South America.  The site was selected for its resilience to natural disasters, ample energy, and extensive expansion potential.  Scala AI City will integrate with Scala's existing SPOAPA01 data center, benefiting from low-latency connectivity and planned connection to the Malbec submarine cable.  The project emphasizes sustainability, utilizing 100% renewable energy and advanced cooling technologies for high energy efficiency (PUE not exceeding 1.2) and zero water usage for cooling (WUE of zero).  Designed for AI workloads, it will support racks exceeding 150 kW with liquid cooling.  The initial phase will create over 3,000 jobs and foster a broad economic ecosystem.";1;0;Campus;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/scala-ai-city/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;
dc_1e8c6816f0;Ascenty - Jundiai JDI2;Ascenty Data Centers;Av. Beirute, 863;13212-181;Jundiaí;Jundiaí;Sao Paulo;Brazil;-23.1924667;-46.9729886;Jundiaí 2 Data Center is strategically located next to the Jundiaí 1 site, allowing an expansion of the opportunities for the customers. Located at Jundiaí city, an industrial and logistics center of national importance, both sites are located next to the capital and have excellent energy and connectivity.;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/;13;13;8993;8993;2019;Purpose-built;Sole-tenant;1.526;N+2;1.0;1.0;1.0;3;0;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;2;0;0;JDI02;7583.0
dc_211c584638;Ascenty - Sumare SUM2;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;Sumaré;;Campinas;Brazil;-22.8138615;-47.2133634;"Rodovia Anhanguera, s/n, Building #2:

Sumaré 2 Data Center enjoys redundant systems with high efficiency and operating performance. The infrastructure ensures physical and logical security, with 24x7x365 availability. The site has 129,000 square feet of raised floor space and 24 MW of total power capacity, with an owned electrical substation. Besides, this Data Center is also neutral carrier and has direct connection with the main PIX in Brazil.";1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-2/;20;20;;;2019;;;1564;N+1;1.0;1.0;1.0;3;0;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;SUM02;7585.0
dc_23c0e2a666;Ascenty - Hortolandia HTL2;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;;Campinas;Brazil;-22.8949687;-47.1794405;Profile text unavailable for this listing.;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-2/;7;7;2991;2991;2019;Retrofitted;;1564;N+1;1.0;1.0;1.0;3;;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;2;0;0;HTL02;7587.0
dc_2858682b7b;Scala Data Centers SGRUTB01;Scala Data Centers;Av. Ceci 1850;06460;Tamboré;;Tamboré;Brazil;-23.4949636;-46.8111973;"Scala Data Centers offers various solutions through its HyperCore and HyperEdge facilities. They construct energy-efficient data centers on large campuses (HyperCore) or offer prefabricated, rapidly deployable units (MiniPods) at edge locations (HyperEdge). This approach allows clients to enter new markets quickly and scale sustainably over time.

The provider boasts a vast land portfolio exceeding 21 million square feet across 57 strategically located properties in Latin America. These locations offer proximity to major cloud providers and submarine cable landing points, facilitating connections to North America, Asia, Europe, and Africa.

Scala Data Centers currently possesses over 60MW of operational capacity across its Latin American data centers, with an additional 900MW under construction or planned for future development. Notably, the provider maintains the most efficient Power Usage Effectiveness (PUE) in Latin America, achieving a PUE below 1.4. Additionally, they have attained a Water Usage Effectiveness (WUE) of zero by employing air-cooling methods in their newer facilities.";1;2;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/;21;21;;;2000;;Sole-tenant;;;;;;;;1;1;1;;1;1;;;;;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;0;19;0;0;SGRUTB01;5226.0
dc_2b7c5d95d1;Ascenty - Hortolandia HTL4;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;;Campinas;Brazil;-22.8948579;-47.1789044;Profile text unavailable for this listing.;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl04/;3;3;1997;1997;2021;Retrofitted;;2520;N+1;1.0;1.0;1.0;;;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL04;11686.0
dc_3357273eaa;Ascenty - Hortolandia HTL3;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;;Campinas;Brazil;-22.8942092;-47.1797024;Profile text unavailable for this listing.;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-3/;3;3;1997;1997;2019;Retrofitted;;1564;N+1;1.0;1.0;1.0;3;;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL03;7588.0
dc_363da00599;Ascenty - Sao Paulo SP3;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;Osasco;;Sao Paulo;Brazil;-23.491232;-46.7759313;"Avenida Roberto Pinto Sobrinho, 350, Building #3:

São Paulo 3 Data Center is located in São Paulo, the largest financial and corporate center in South America. With 3,000 square meters of building space and 4 MW of total power capacity, this site has an owned electrical substation and direct connection with the main PIX in Brazil.";1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/;4;4;3995;3995;2020;Retrofitted;;1526;N+2;1.0;1.0;1.0;3;;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;93;1;0;SP03;7581.0
dc_541dfaf17f;Ascenty - Paulinia PLN1;Ascenty Data Centers;R. Sebastião Cardoso 350;13140-000;Paulínia;;Campinas;Brazil;-22.7970795;-47.1352301;"Rua Sebastião Cardoso:

Paulínia Data Center has 86,000 square feet of raised floor space and 16 MW of total power capacity, with an owned electrical substation and direct connection with the main PIX in Brazil.

Paulínia has become a strategic city after attracting one of the Latin America's largest petrochemical center. Paulínia Data Center is based in this privileged location. The site is located on the city's main highway, which provides quick access to the state capital and other cities across the region.";1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/r-sebastião-cardoso/;13;13;;;2019;Purpose-built;;1526;N+2;1.0;1.0;1.0;3;;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;2;0;0;PLN01;7591.0
dc_5ee8bb7ed9;Ascenty - Vinhedo VIN1;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;Vinhedo;;Campinas;Brazil;-23.0700044;-47.0118244;"Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani:

Located close to the city of São Paulo, Vinhedo Data Center is ideal for companies that require security, stability and a strategic location to store their data. As the largest Latin America Data Center, this site has 430,500 square feet of raised floor space and 24 MW of total power capacity, with an owned electrical substation. Besides, this Data Center is also neutral carrier and has direct connection with the main PIX in Brazil.";1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/;27;27;20987;20987;;Purpose-built;;1526;N+2;1.0;1.0;1.0;3;;1;1;1;1;1;1;1;2;2;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;22;1;1;VIN01;7589.0
