id,org_id,org_name,campus_id,name,aka,name_long,website,social_media,clli,rencode,npanxx,notes,net_count,ix_count,carrier_count,sales_email,sales_phone,tech_email,tech_phone,available_voltage_services,diverse_serving_substations,property,region_continent,status_dashboard,logo,created,updated,status,address1,address2,city,country,state,zipcode,floor,suite,latitude,longitude,endereco_formatado_cidade_datacenter,latitude_cidade_datacenter,longitude_cidade_datacenter
165,2,"Equinix, Inc.",,Equinix SP4 - São Paulo,,,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/,"{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/'}",,,,,592,6,12,,,support@equinix.com,,,True,Owner,South America,https://status.equinix.com,,2010-07-29T00:00:00Z,2025-09-26T22:42:20Z,ok,"Av. Ceci, 1900 - Res. Tambore",Tamboré,Barueri,BR,SP,06455000,,,-23.497589,-46.814577,"Barueri - São Paulo, Brazil",-23.5035038,-46.8785555
816,20869,Telium Telecomunicações Ltda,,PIX Telium,Telium,Telium Telecomunicações Ltda,http://www.telium.com.br,"{'service': 'website', 'identifier': 'http://www.telium.com.br'}",,,,,30,1,0,noc@telium.com.br,551140035700.0,noc@telium.com.br,551140035700.0,,True,Owner,South America,,,2010-07-29T00:00:00Z,2025-09-26T22:43:27Z,ok,Av. Nações unidas 13797 Building III 2° floor,,São Paulo,BR,SP,04794-000,,,-23.620044,-46.702253,"São Paulo, Brazil",-23.5557714,-46.6395571
1025,3820,Moebius Tecnologia,,Moebius Datacenter,,,http://www.moebius.com.br,"{'service': 'website', 'identifier': 'http://www.moebius.com.br'}",,,,,2,0,0,,,,,,,,South America,,,2011-04-03T00:00:00Z,2025-09-26T22:43:52Z,ok,Rua Jardim Botanico 674 sala 507,,Rio de Janeiro,BR,RJ,22461000,,,-22.964262,-43.218326,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1057,35201,Cirion,,Cirion Sao Paulo - SAO1,Teleporto Cotia,Cirion Technologies,https://ciriontechnologies.com,"{'service': 'website', 'identifier': 'https://ciriontechnologies.com'}",,,,,145,2,3,contato.br@ciriontechnologies.com,551139572200.0,dl-ipnoc-lat@ciriontechnologies.com,,,,,South America,,,2011-06-02T00:00:00Z,2025-09-26T22:43:55Z,ok,"Av. Eid Mansur, 666",Parque Sao George,Cotia,BR,,06708-070,,,-23.597933,-46.848808,"Cotia - Caucaia do Alto, Cotia - São Paulo, Brazil",-23.6059252,-46.926502
1099,4855,G8,,PIX Samm Florida,,,http://www.g8.net.br,"{'service': 'website', 'identifier': 'http://www.g8.net.br'}",,,,,17,1,1,,,,,,,,South America,,,2011-09-30T00:00:00Z,2025-09-26T22:43:58Z,ok,"R. Flórida, 1738 – Conj. Comercial 31, 3º andar – Brooklin",,São Paulo,BR,SP,04575901,,,-23.607007,-46.694739,"São Paulo, Brazil",-23.5557714,-46.6395571
1146,5282,Microlink,,MICROLINK-NRI-1,,,http://www.microlink.com.br/,"{'service': 'website', 'identifier': 'http://www.microlink.com.br/'}",,,,,0,0,0,,,,,,,,South America,,,2011-12-10T00:00:00Z,2025-09-26T22:44:02Z,ok,Av Roberto Silveira 550,Icarai,Niteroi,BR,RJ,24230-163,,,-22.908531,-43.101272,"Niterói - Rio de Janeiro, Brazil",-22.8807073,-43.1013526
1147,5282,Microlink,,MICROLINK-NRI-2,,,http://www.microlink.com.br/,"{'service': 'website', 'identifier': 'http://www.microlink.com.br/'}",,,,,0,0,0,,,,,,,,South America,,,2011-12-10T00:00:00Z,2025-09-26T22:44:03Z,ok,Rua da Conceição 188,Centro,Niteroi,BR,RJ,,,,-22.89454,-43.118911,"Niterói - Rio de Janeiro, Brazil",-22.8807073,-43.1013526
1210,5913,Ananke,,Ananke,,,http://www.ananke.com.br,"{'service': 'website', 'identifier': 'http://www.ananke.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2012-03-28T00:00:00Z,2025-09-26T22:44:09Z,ok,"rua santo antonio, 184",CJ 191 - Bela vista,São Paulo,BR,SP,01314000,,,-23.549923,-46.640734,"São Paulo, Brazil",-23.5557714,-46.6395571
1283,2,"Equinix, Inc.",,Equinix SP2 - São Paulo,,,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/,"{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/'}",,,,,236,4,8,,,,,,,,South America,,,2012-09-06T00:00:00Z,2025-09-26T22:44:16Z,ok,"Alameda Araguaia, 3641",Tambore,Barueri,BR,SP,06455000,,,-23.5027,-46.827255,"Barueri - São Paulo, Brazil",-23.5035038,-46.8785555
1286,6796,Teletalk,,IDC Teletalk,,,http://www.teletalk.com.br,"{'service': 'website', 'identifier': 'http://www.teletalk.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2012-09-06T00:00:00Z,2025-09-26T22:44:16Z,ok,"Av. ACM, 3 andar, Ed. Empresarial WN",,Salvador,BR,BA,40290100,,,,,"Salvador - Bahia, Brazil",-12.9777334,-38.501648
1325,6993,TIVIT,,TIVIT Sao Paulo,,,https://www.tivit.com.br,"{'service': 'website', 'identifier': 'https://www.tivit.com.br'}",,,,,25,2,1,,,,,,,,South America,,,2012-10-22T00:00:00Z,2025-09-26T22:44:19Z,ok,"Rua Bento Branco de Andrade Filho, 621",Jardim Dom Bosco,São Paulo,BR,SP,04757-000,,,-23.65071,-46.720519,"São Paulo, Brazil",-23.5557714,-46.6395571
1345,13279,Vogel Soluções em Telecom e Informática S/A,,PIX ALGAR-VRAO,,,http://www.stech.net.br,"{'service': 'website', 'identifier': 'http://www.stech.net.br'}",,,,,1,1,0,,,,,,,,South America,,,2012-11-26T00:00:00Z,2025-09-26T22:44:21Z,ok,"Avenida Das Nações Unidas, 12901",Torre Norte,São Paulo,BR,SP,04578-910,,,-23.610224,-46.696424,"São Paulo, Brazil",-23.5557714,-46.6395571
1374,35201,Cirion,,Cirion Rio de Janeiro - RIO1,,Cirion Technologies,http://www.ciriontechnologies.com,"{'service': 'website', 'identifier': 'http://www.ciriontechnologies.com'}",,,,,108,1,2,contato.br@ciriontechnologies.com,551139572200.0,dl-ipnoc-lat@ciriontechnologies.com,,,,,South America,,,2013-02-24T00:00:00Z,2025-09-26T22:44:24Z,ok,"Avenida Pedro II, 329",São Cristóvão,Rio de Janeiro,BR,RJ,20941-070,,,-22.904959,-43.217935,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1563,10724,Webfoco Telecomunicacoes,,IDC Webfoco,,,http://www.webfoco.net,"{'service': 'website', 'identifier': 'http://www.webfoco.net'}",,,,,4,0,0,,,,,,,,South America,,,2013-07-26T00:00:00Z,2025-09-26T22:44:38Z,ok,"Rua Ewerton Visco, S/N. Edf. Boulevard Side, Sala 610.",AtrÃ¡s do Shopping SumarÃ©,Salvador,BR,BA,41820-020,,,,,"Salvador - Bahia, Brazil",-12.9777334,-38.501648
1564,35201,Cirion,,Cirion Curitiba - CUR1,,Cirion Technologies,https://ciriontechnologies.com,"{'service': 'website', 'identifier': 'https://ciriontechnologies.com'}",,,,,20,1,2,contato.br@ciriontechnologies.com,551139572200.0,DL-ipnoc-lat@ciriontechnologies.com,,,,,South America,,,2013-10-22T00:00:00Z,2025-09-26T22:44:38Z,ok,"Rua do Semeador, 350",Distrito Industrial,Curitiba,BR,PR,81270-050,,,-25.470318,-49.350347,"Curitiba, Paraná, Brazil",-25.4268985,-49.2651984
