codigo_ibge,nome_municipio,uf,estado,mesorregiao,ano_populacao,populacao,ano_pib,pib
1100015,Alta Floresta D'Oeste,RO,Rondônia,Leste Rondoniense,2026,22724,2023,1046343.0
1100023,Ariquemes,RO,Rondônia,Leste Rondoniense,2026,109731,2023,4383815.0
1100031,Cabixi,RO,Rondônia,Leste Rondoniense,2026,5640,2023,300832.0
1100049,Cacoal,RO,Rondônia,Leste Rondoniense,2026,98884,2023,3848468.0
1100056,Cerejeiras,RO,Rondônia,Leste Rondoniense,2026,16957,2023,1006389.0
1100064,Colorado do Oeste,RO,Rondônia,Leste Rondoniense,2026,16432,2023,580899.0
1100072,Corumbiara,RO,Rondônia,Leste Rondoniense,2026,7938,2023,509566.0
1100080,Costa Marques,RO,Rondônia,Madeira-Guaporé,2026,13499,2023,413943.0
1100098,Espigão D'Oeste,RO,Rondônia,Leste Rondoniense,2026,32960,2023,1023973.0
1100106,Guajará-Mirim,RO,Rondônia,Madeira-Guaporé,2026,43633,2023,1145034.0
1100114,Jaru,RO,Rondônia,Leste Rondoniense,2026,55774,2023,2515558.0
1100122,Ji-Paraná,RO,Rondônia,Leste Rondoniense,2026,140800,2023,5824472.0
1100130,Machadinho D'Oeste,RO,Rondônia,Leste Rondoniense,2026,34229,2023,1055806.0
1100148,Nova Brasilândia D'Oeste,RO,Rondônia,Leste Rondoniense,2026,16251,2023,731952.0
1100155,Ouro Preto do Oeste,RO,Rondônia,Leste Rondoniense,2026,38686,2023,1275479.0
1100189,Pimenta Bueno,RO,Rondônia,Leste Rondoniense,2026,39377,2023,2124340.0
1100205,Porto Velho,RO,Rondônia,Madeira-Guaporé,2026,520379,2023,25402193.0
1100254,Presidente Médici,RO,Rondônia,Leste Rondoniense,2026,20372,2023,776281.0
1100262,Rio Crespo,RO,Rondônia,Leste Rondoniense,2026,3781,2023,265160.0
1100288,Rolim de Moura,RO,Rondônia,Leste Rondoniense,2026,63336,2023,2287631.0
1100296,Santa Luzia D'Oeste,RO,Rondônia,Leste Rondoniense,2026,7798,2023,291887.0
1100304,Vilhena,RO,Rondônia,Leste Rondoniense,2026,110708,2023,5115785.0
1100320,São Miguel do Guaporé,RO,Rondônia,Leste Rondoniense,2026,22343,2023,1549192.0
1100338,Nova Mamoré,RO,Rondônia,Madeira-Guaporé,2026,28894,2023,1060566.0
1100346,Alvorada D'Oeste,RO,Rondônia,Leste Rondoniense,2026,13611,2023,486626.0
1100379,Alto Alegre dos Parecis,RO,Rondônia,Leste Rondoniense,2026,12213,2023,575129.0
1100403,Alto Paraíso,RO,Rondônia,Leste Rondoniense,2026,17471,2023,667923.0
1100452,Buritis,RO,Rondônia,Madeira-Guaporé,2026,30573,2023,1221008.0
1100502,Novo Horizonte do Oeste,RO,Rondônia,Leste Rondoniense,2026,7894,2023,331958.0
1100601,Cacaulândia,RO,Rondônia,Leste Rondoniense,2026,4242,2023,238989.0
1100700,Campo Novo de Rondônia,RO,Rondônia,Madeira-Guaporé,2026,8972,2023,455251.0
1100809,Candeias do Jamari,RO,Rondônia,Madeira-Guaporé,2026,24454,2023,1001610.0
1100908,Castanheiras,RO,Rondônia,Leste Rondoniense,2026,3445,2023,138594.0
1100924,Chupinguaia,RO,Rondônia,Leste Rondoniense,2026,10250,2023,673990.0
1100940,Cujubim,RO,Rondônia,Madeira-Guaporé,2026,15872,2023,582148.0
1101005,Governador Jorge Teixeira,RO,Rondônia,Leste Rondoniense,2026,8264,2023,320123.0
1101104,Itapuã do Oeste,RO,Rondônia,Madeira-Guaporé,2026,9247,2023,340162.0
1101203,Ministro Andreazza,RO,Rondônia,Leste Rondoniense,2026,6389,2023,440282.0
1101302,Mirante da Serra,RO,Rondônia,Leste Rondoniense,2026,9579,2023,380179.0
1101401,Monte Negro,RO,Rondônia,Leste Rondoniense,2026,12100,2023,526990.0
1101435,Nova União,RO,Rondônia,Leste Rondoniense,2026,6506,2023,193557.0
1101450,Parecis,RO,Rondônia,Leste Rondoniense,2026,4356,2023,201510.0
1101468,Pimenteiras do Oeste,RO,Rondônia,Leste Rondoniense,2026,2308,2023,355185.0
1101476,Primavera de Rondônia,RO,Rondônia,Leste Rondoniense,2026,3259,2023,131193.0
1101484,São Felipe D'Oeste,RO,Rondônia,Leste Rondoniense,2026,5571,2023,177906.0
1101492,São Francisco do Guaporé,RO,Rondônia,Madeira-Guaporé,2026,17601,2023,716411.0
1101500,Seringueiras,RO,Rondônia,Leste Rondoniense,2026,12973,2023,446997.0
1101559,Teixeirópolis,RO,Rondônia,Leste Rondoniense,2026,4507,2023,156426.0
1101609,Theobroma,RO,Rondônia,Leste Rondoniense,2026,8383,2023,307754.0
1101708,Urupá,RO,Rondônia,Leste Rondoniense,2026,11254,2023,370214.0
1101757,Vale do Anari,RO,Rondônia,Leste Rondoniense,2026,8178,2023,257311.0
1101807,Vale do Paraíso,RO,Rondônia,Leste Rondoniense,2026,6740,2023,225187.0
1200013,Acrelândia,AC,Acre,Vale do Acre,2026,14762,2023,502663.0
1200054,Assis Brasil,AC,Acre,Vale do Acre,2026,8716,2023,187366.0
1200104,Brasiléia,AC,Acre,Vale do Acre,2026,28198,2023,929800.0
1200138,Bujari,AC,Acre,Vale do Acre,2026,14076,2023,365419.0
1200179,Capixaba,AC,Acre,Vale do Acre,2026,11035,2023,530657.0
1200203,Cruzeiro do Sul,AC,Acre,Vale do Juruá,2026,99404,2023,2680143.0
1200252,Epitaciolândia,AC,Acre,Vale do Acre,2026,19997,2023,793427.0
1200302,Feijó,AC,Acre,Vale do Juruá,2026,37874,2023,741344.0
1200328,Jordão,AC,Acre,Vale do Juruá,2026,9972,2023,150648.0
1200336,Mâncio Lima,AC,Acre,Vale do Juruá,2026,20616,2023,339224.0
1200344,Manoel Urbano,AC,Acre,Vale do Acre,2026,13057,2023,262614.0
1200351,Marechal Thaumaturgo,AC,Acre,Vale do Juruá,2026,18154,2023,288045.0
1200385,Plácido de Castro,AC,Acre,Vale do Acre,2026,17088,2023,764818.0
1200393,Porto Walter,AC,Acre,Vale do Juruá,2026,11386,2023,200512.0
1200401,Rio Branco,AC,Acre,Vale do Acre,2026,390058,2023,12960966.0
1200427,Rodrigues Alves,AC,Acre,Vale do Juruá,2026,15580,2023,293645.0
1200435,Santa Rosa do Purus,AC,Acre,Vale do Acre,2026,7285,2023,124070.0
1200450,Senador Guiomard,AC,Acre,Vale do Acre,2026,22447,2023,1111821.0
1200500,Sena Madureira,AC,Acre,Vale do Acre,2026,44170,2023,972648.0
1200609,Tarauacá,AC,Acre,Vale do Juruá,2026,47090,2023,932080.0
1200708,Xapuri,AC,Acre,Vale do Acre,2026,19244,2023,626026.0
1200807,Porto Acre,AC,Acre,Vale do Acre,2026,17585,2023,533386.0
1300029,Alvarães,AM,Amazonas,Centro Amazonense,2026,16938,2023,242584.0
1300060,Amaturá,AM,Amazonas,Sudoeste Amazonense,2026,11633,2023,134732.0
1300086,Anamã,AM,Amazonas,Centro Amazonense,2026,9981,2023,154694.0
1300102,Anori,AM,Amazonas,Centro Amazonense,2026,18135,2023,297171.0
1300144,Apuí,AM,Amazonas,Sul Amazonense,2026,21971,2023,386133.0
1300201,Atalaia do Norte,AM,Amazonas,Sudoeste Amazonense,2026,15920,2023,206769.0
1300300,Autazes,AM,Amazonas,Centro Amazonense,2026,46641,2023,584990.0
1300409,Barcelos,AM,Amazonas,Norte Amazonense,2026,17805,2023,242100.0
1300508,Barreirinha,AM,Amazonas,Centro Amazonense,2026,34025,2023,398068.0
1300607,Benjamin Constant,AM,Amazonas,Sudoeste Amazonense,2026,41261,2023,469445.0
1300631,Beruri,AM,Amazonas,Centro Amazonense,2026,22842,2023,262121.0
1300680,Boa Vista do Ramos,AM,Amazonas,Centro Amazonense,2026,27052,2023,243779.0
1300706,Boca do Acre,AM,Amazonas,Sul Amazonense,2026,39176,2023,661735.0
1300805,Borba,AM,Amazonas,Sul Amazonense,2026,34836,2023,435684.0
1300839,Caapiranga,AM,Amazonas,Centro Amazonense,2026,14980,2023,219112.0
1300904,Canutama,AM,Amazonas,Sul Amazonense,2026,18327,2023,208247.0
1301001,Carauari,AM,Amazonas,Sudoeste Amazonense,2026,31383,2023,433322.0
1301100,Careiro,AM,Amazonas,Centro Amazonense,2026,32289,2023,436682.0
1301159,Careiro da Várzea,AM,Amazonas,Centro Amazonense,2026,20081,2023,418938.0
1301209,Coari,AM,Amazonas,Centro Amazonense,2026,73403,2023,3893679.0
1301308,Codajás,AM,Amazonas,Centro Amazonense,2026,24627,2023,637713.0
1301407,Eirunepé,AM,Amazonas,Sudoeste Amazonense,2026,36027,2023,683640.0
1301506,Envira,AM,Amazonas,Sudoeste Amazonense,2026,18062,2023,236124.0
1301605,Fonte Boa,AM,Amazonas,Sudoeste Amazonense,2026,28491,2023,324329.0
1301654,Guajará,AM,Amazonas,Sudoeste Amazonense,2026,14356,2023,184646.0
1301704,Humaitá,AM,Amazonas,Sul Amazonense,2026,64390,2023,926065.0
1301803,Ipixuna,AM,Amazonas,Sudoeste Amazonense,2026,25792,2023,247844.0
1301852,Iranduba,AM,Amazonas,Centro Amazonense,2026,70248,2023,1263496.0
1301902,Itacoatiara,AM,Amazonas,Centro Amazonense,2026,115218,2023,3321936.0
1301951,Itamarati,AM,Amazonas,Sudoeste Amazonense,2026,12150,2023,161777.0
1302009,Itapiranga,AM,Amazonas,Centro Amazonense,2026,11090,2023,196557.0
1302108,Japurá,AM,Amazonas,Norte Amazonense,2026,9527,2023,145337.0
1302207,Juruá,AM,Amazonas,Sudoeste Amazonense,2026,11106,2023,147950.0
1302306,Jutaí,AM,Amazonas,Sudoeste Amazonense,2026,28712,2023,394550.0
1302405,Lábrea,AM,Amazonas,Sul Amazonense,2026,50040,2023,742982.0
1302504,Manacapuru,AM,Amazonas,Centro Amazonense,2026,113042,2023,1917413.0
1302553,Manaquiri,AM,Amazonas,Centro Amazonense,2026,15902,2023,303947.0
1302603,Manaus,AM,Amazonas,Centro Amazonense,2026,2327101,2023,127649795.0
1302702,Manicoré,AM,Amazonas,Sul Amazonense,2026,58557,2023,926410.0
1302801,Maraã,AM,Amazonas,Norte Amazonense,2026,15716,2023,202680.0
1302900,Maués,AM,Amazonas,Centro Amazonense,2026,67021,2023,695907.0
1303007,Nhamundá,AM,Amazonas,Centro Amazonense,2026,21394,2023,239731.0
1303106,Nova Olinda do Norte,AM,Amazonas,Centro Amazonense,2026,27965,2023,354693.0
1303205,Novo Airão,AM,Amazonas,Norte Amazonense,2026,16648,2023,243316.0
1303304,Novo Aripuanã,AM,Amazonas,Sul Amazonense,2026,25506,2023,311737.0
1303403,Parintins,AM,Amazonas,Centro Amazonense,2026,101754,2023,1656949.0
1303502,Pauini,AM,Amazonas,Sul Amazonense,2026,20330,2023,237839.0
1303536,Presidente Figueiredo,AM,Amazonas,Centro Amazonense,2026,33580,2023,730303.0
1303569,Rio Preto da Eva,AM,Amazonas,Centro Amazonense,2026,25342,2023,495858.0
1303601,Santa Isabel do Rio Negro,AM,Amazonas,Norte Amazonense,2026,13724,2023,197857.0
1303700,Santo Antônio do Içá,AM,Amazonas,Sudoeste Amazonense,2026,30987,2023,354277.0
1303809,São Gabriel da Cachoeira,AM,Amazonas,Norte Amazonense,2026,58359,2023,584409.0
1303908,São Paulo de Olivença,AM,Amazonas,Sudoeste Amazonense,2026,35619,2023,358400.0
1303957,São Sebastião do Uatumã,AM,Amazonas,Centro Amazonense,2026,12415,2023,145515.0
1304005,Silves,AM,Amazonas,Centro Amazonense,2026,12827,2023,434235.0
1304062,Tabatinga,AM,Amazonas,Sudoeste Amazonense,2026,74384,2023,849681.0
1304104,Tapauá,AM,Amazonas,Sul Amazonense,2026,20849,2023,318010.0
1304203,Tefé,AM,Amazonas,Centro Amazonense,2026,81046,2023,1619517.0
1304237,Tonantins,AM,Amazonas,Sudoeste Amazonense,2026,20417,2023,214602.0
1304260,Uarini,AM,Amazonas,Centro Amazonense,2026,15815,2023,265246.0
1304302,Urucará,AM,Amazonas,Centro Amazonense,2026,19738,2023,244547.0
1304401,Urucurituba,AM,Amazonas,Centro Amazonense,2026,26373,2023,297173.0
1400027,Amajari,RR,Roraima,Norte de Roraima,2026,16647,2023,329100.0
1400050,Alto Alegre,RR,Roraima,Norte de Roraima,2026,24135,2023,802540.0
1400100,Boa Vista,RR,Roraima,Norte de Roraima,2026,500965,2023,18234169.0
1400159,Bonfim,RR,Roraima,Norte de Roraima,2026,15922,2023,772903.0
1400175,Cantá,RR,Roraima,Norte de Roraima,2026,21659,2023,498394.0
1400209,Caracaraí,RR,Roraima,Sul de Roraima,2026,23061,2023,637454.0
1400233,Caroebe,RR,Roraima,Sul de Roraima,2026,12303,2023,317377.0
1400282,Iracema,RR,Roraima,Sul de Roraima,2026,11098,2023,279559.0
1400308,Mucajaí,RR,Roraima,Sul de Roraima,2026,20398,2023,552044.0
1400407,Normandia,RR,Roraima,Norte de Roraima,2026,16908,2023,370956.0
1400456,Pacaraima,RR,Roraima,Norte de Roraima,2026,24132,2023,447421.0
1400472,Rorainópolis,RR,Roraima,Sul de Roraima,2026,38840,2023,981040.0
1400506,São João da Baliza,RR,Roraima,Sul de Roraima,2026,10215,2023,425809.0
1400605,São Luiz do Anauá,RR,Roraima,Sul de Roraima,2026,7920,2023,221585.0
1400704,Uiramutã,RR,Roraima,Norte de Roraima,2026,16809,2023,254453.0
1500107,Abaetetuba,PA,Pará,Nordeste Paraense,2026,173638,2023,2441092.0
1500131,Abel Figueiredo,PA,Pará,Sudeste Paraense,2026,6250,2023,131077.0
1500206,Acará,PA,Pará,Nordeste Paraense,2026,63503,2023,2111467.0
1500305,Afuá,PA,Pará,Marajó,2026,40692,2023,665557.0
1500347,Água Azul do Norte,PA,Pará,Sudeste Paraense,2026,17246,2023,1047226.0
1500404,Alenquer,PA,Pará,Baixo Amazonas,2026,76889,2023,1578584.0
1500503,Almeirim,PA,Pará,Baixo Amazonas,2026,36545,2023,593847.0
1500602,Altamira,PA,Pará,Sudoeste Paraense,2026,140450,2023,3887894.0
1500701,Anajás,PA,Pará,Marajó,2026,30482,2023,370838.0
1500800,Ananindeua,PA,Pará,Metropolitana de Belém,2026,510563,2023,11473897.0
1500859,Anapu,PA,Pará,Sudoeste Paraense,2026,36304,2023,715999.0
1500909,Augusto Corrêa,PA,Pará,Nordeste Paraense,2026,48216,2023,490157.0
1500958,Aurora do Pará,PA,Pará,Nordeste Paraense,2026,24070,2023,390415.0
1501006,Aveiro,PA,Pará,Sudoeste Paraense,2026,19531,2023,228317.0
1501105,Bagre,PA,Pará,Marajó,2026,35640,2023,329848.0
1501204,Baião,PA,Pará,Nordeste Paraense,2026,57717,2023,799363.0
1501253,Bannach,PA,Pará,Sudeste Paraense,2026,4327,2023,153995.0
1501303,Barcarena,PA,Pará,Metropolitana de Belém,2026,140756,2023,9190033.0
1501402,Belém,PA,Pará,Metropolitana de Belém,2026,1396157,2023,40536062.0
1501451,Belterra,PA,Pará,Baixo Amazonas,2026,19191,2023,352844.0
1501501,Benevides,PA,Pará,Metropolitana de Belém,2026,69703,2023,3338145.0
1501576,Bom Jesus do Tocantins,PA,Pará,Sudeste Paraense,2026,19294,2023,336974.0
1501600,Bonito,PA,Pará,Nordeste Paraense,2026,12925,2023,147258.0
1501709,Bragança,PA,Pará,Nordeste Paraense,2026,133268,2023,1977330.0
1501725,Brasil Novo,PA,Pará,Sudoeste Paraense,2026,27635,2023,517482.0
1501758,Brejo Grande do Araguaia,PA,Pará,Sudeste Paraense,2026,6947,2023,143221.0
1501782,Breu Branco,PA,Pará,Sudeste Paraense,2026,46792,2023,802221.0
1501808,Breves,PA,Pará,Marajó,2026,117028,2023,1515250.0
1501907,Bujaru,PA,Pará,Metropolitana de Belém,2026,25019,2023,688320.0
1501956,Cachoeira do Piriá,PA,Pará,Nordeste Paraense,2026,18881,2023,237908.0
1502004,Cachoeira do Arari,PA,Pará,Marajó,2026,25683,2023,354702.0
1502103,Cametá,PA,Pará,Nordeste Paraense,2026,145843,2023,1901553.0
1502152,Canaã dos Carajás,PA,Pará,Sudeste Paraense,2026,92311,2023,16621560.0
1502202,Capanema,PA,Pará,Nordeste Paraense,2026,75791,2023,1883282.0
1502301,Capitão Poço,PA,Pará,Nordeste Paraense,2026,60663,2023,900134.0
1502400,Castanhal,PA,Pará,Metropolitana de Belém,2026,210592,2023,6318091.0
1502509,Chaves,PA,Pará,Marajó,2026,21514,2023,331190.0
1502608,Colares,PA,Pará,Nordeste Paraense,2026,13720,2023,136194.0
