codigo_ibge,nome_municipio,uf,estado,ano,populacao,pib
1100015,Alta Floresta D'Oeste,RO,Rondônia,2010,,262077.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2011,24228.0,280510.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2012,24069.0,329029.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2013,25728.0,341325.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2014,25652.0,377799.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2015,25578.0,421300.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2016,25506.0,478217.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2017,25437.0,485374.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2018,23167.0,498980.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2019,22945.0,495775.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2020,22728.0,570242.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2021,22516.0,734467.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2022,,919520.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2023,,1046343.0
1100015,Alta Floresta D'Oeste,RO,Rondônia,2024,22853.0,
1100015,Alta Floresta D'Oeste,RO,Rondônia,2025,22787.0,
1100015,Alta Floresta D'Oeste,RO,Rondônia,2026,22724.0,
1100023,Ariquemes,RO,Rondônia,2010,,1364694.0
1100023,Ariquemes,RO,Rondônia,2011,91570.0,1651885.0
1100023,Ariquemes,RO,Rondônia,2012,92747.0,1703642.0
1100023,Ariquemes,RO,Rondônia,2013,101269.0,1799853.0
1100023,Ariquemes,RO,Rondônia,2014,102860.0,1921532.0
1100023,Ariquemes,RO,Rondônia,2015,104401.0,2037799.0
1100023,Ariquemes,RO,Rondônia,2016,105896.0,2184346.0
1100023,Ariquemes,RO,Rondônia,2017,107345.0,2287910.0
1100023,Ariquemes,RO,Rondônia,2018,106168.0,2464704.0
1100023,Ariquemes,RO,Rondônia,2019,107863.0,2579278.0
1100023,Ariquemes,RO,Rondônia,2020,109523.0,2817331.0
1100023,Ariquemes,RO,Rondônia,2021,111148.0,3211294.0
1100023,Ariquemes,RO,Rondônia,2022,,3809355.0
1100023,Ariquemes,RO,Rondônia,2023,,4383815.0
1100023,Ariquemes,RO,Rondônia,2024,108573.0,
1100023,Ariquemes,RO,Rondônia,2025,109170.0,
1100023,Ariquemes,RO,Rondônia,2026,109731.0,
1100031,Cabixi,RO,Rondônia,2010,,69611.0
1100031,Cabixi,RO,Rondônia,2011,6221.0,77217.0
1100031,Cabixi,RO,Rondônia,2012,6132.0,99586.0
1100031,Cabixi,RO,Rondônia,2013,6495.0,96365.0
1100031,Cabixi,RO,Rondônia,2014,6424.0,113477.0
1100031,Cabixi,RO,Rondônia,2015,6355.0,116565.0
1100031,Cabixi,RO,Rondônia,2016,6289.0,133342.0
1100031,Cabixi,RO,Rondônia,2017,6224.0,138110.0
1100031,Cabixi,RO,Rondônia,2018,5438.0,140503.0
1100031,Cabixi,RO,Rondônia,2019,5312.0,139976.0
1100031,Cabixi,RO,Rondônia,2020,5188.0,167153.0
1100031,Cabixi,RO,Rondônia,2021,5067.0,238414.0
1100031,Cabixi,RO,Rondônia,2022,,289783.0
1100031,Cabixi,RO,Rondônia,2023,,300832.0
1100031,Cabixi,RO,Rondônia,2024,5690.0,
1100031,Cabixi,RO,Rondônia,2025,5664.0,
1100031,Cabixi,RO,Rondônia,2026,5640.0,
1100049,Cacoal,RO,Rondônia,2010,,1186494.0
1100049,Cacoal,RO,Rondônia,2011,78959.0,1259024.0
1100049,Cacoal,RO,Rondônia,2012,79330.0,1372705.0
1100049,Cacoal,RO,Rondônia,2013,85863.0,1433254.0
1100049,Cacoal,RO,Rondônia,2014,86556.0,1660650.0
1100049,Cacoal,RO,Rondônia,2015,87226.0,1794478.0
1100049,Cacoal,RO,Rondônia,2016,87877.0,1947283.0
1100049,Cacoal,RO,Rondônia,2017,88507.0,2082761.0
1100049,Cacoal,RO,Rondônia,2018,84813.0,2175840.0
1100049,Cacoal,RO,Rondônia,2019,85359.0,2261930.0
1100049,Cacoal,RO,Rondônia,2020,85893.0,2518845.0
1100049,Cacoal,RO,Rondônia,2021,86416.0,2792506.0
1100049,Cacoal,RO,Rondônia,2022,,3195489.0
1100049,Cacoal,RO,Rondônia,2023,,3848468.0
1100049,Cacoal,RO,Rondônia,2024,97637.0,
1100049,Cacoal,RO,Rondônia,2025,98280.0,
1100049,Cacoal,RO,Rondônia,2026,98884.0,
1100056,Cerejeiras,RO,Rondônia,2010,,222021.0
1100056,Cerejeiras,RO,Rondônia,2011,16939.0,260142.0
