id_datacenter;nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_sqm;whitespace_referenciado_sqm;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_sqm;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;desc_resumo_pt;desc_qualidade_texto;desc_pue_mencionado;desc_wue_ou_agua_mencionado;desc_energia_renovavel_pct;desc_fonte_energia;desc_tecnologia_resfriamento;desc_investimento_mencionado;desc_empregos_gerados;desc_carga_alvo;desc_expansao_planejada_mw;desc_aprovacoes_regulatorias;desc_iniciativas_ambientais;desc_cronograma_texto
dc_166467565d;Scala AI City;Scala Data Centers;Rodovia Osvaldo Aranha;92990-000;Eldorado do Sul;Porto Alegre;Brazil;-30.07425077314578;-51.49400150419427;1;0;Campus;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/scala-ai-city/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;O Scala AI City, localizado em Eldorado do Sul, região metropolitana de Porto Alegre, Brasil, é um projeto pioneiro de infraestrutura digital da Scala Data Centers. Com investimento inicial de US$ 500 milhões na primeira fase, esta 'cidade de data centers' deve se tornar a maior e mais inovadora da América do Sul. O local foi escolhido por sua resiliência a desastres naturais, ampla oferta de energia e grande potencial de expansão. O empreendimento se integrará ao data center SPOAPA01 já existente da Scala, com conectividade de baixa latência e conexão planejada ao cabo submarino Malbec. O projeto enfatiza sustentabilidade, com 100% de energia renovável e tecnologias avançadas de resfriamento para alta eficiência energética (PUE não superior a 1,2) e uso zero de água para resfriamento (WUE zero). Projetado para cargas de trabalho de IA, suportará racks acima de 150 kW com resfriamento líquido. A fase inicial criará mais de 3.000 empregos e fomentará um amplo ecossistema econômico.;detalhado_especifico;PUE não superior a 1,2;"WUE zero; uso zero de água para resfriamento";100%;Energia renovável;"Resfriamento líquido, tecnologias avançadas de resfriamento sem uso de água; racks acima de 150 kW";US$ 500 milhões na primeira fase;Mais de 3.000 na fase inicial;['IA / cargas de trabalho de inteligência artificial', 'Alta densidade (racks >150 kW)'];;[];['100% energia renovável', 'Uso zero de água no resfriamento', 'Alta eficiência energética (PUE ≤1,2)'];"Primeira fase com investimento inicial de US$ 500 milhões; conexão planejada ao cabo submarino Malbec"
dc_1e8c6816f0;Ascenty - Jundiai JDI2;Ascenty Data Centers;Av. Beirute, 863;13212-181;Jundiaí;Sao Paulo;Brazil;-23.1924667;-46.9729886;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/;13.0;13.0;8993.0;8993.0;2019.0;Purpose-built;Sole-tenant;1.526;N+2;1.0;1.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;2;0;0;JDI02;7583.0;O Data Center Jundiaí 2 está estrategicamente localizado ao lado do site Jundiaí 1, permitindo ampliar as oportunidades para os clientes. Situado na cidade de Jundiaí, um polo industrial e logístico de importância nacional, ambos os sites ficam próximos à capital e contam com excelente infraestrutura de energia e conectividade.;curto_especifico;;;;;;;;[];;[];[];
dc_211c584638;Ascenty - Sumare SUM2;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;Sumaré;Campinas;Brazil;-22.8138615;-47.2133634;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-2/;20.0;20.0;;;2019.0;;;1564.0;N+1;1.0;1.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;SUM02;7585.0;O Sumaré 2 Data Center (Rodovia Anhanguera, s/n, Prédio #2) conta com sistemas redundantes de alta eficiência e desempenho operacional. A infraestrutura garante segurança física e lógica, com disponibilidade 24x7x365. O site possui 129.000 pés quadrados (cerca de 12.000 m²) de área de piso elevado e 24 MW de capacidade total de energia, com subestação elétrica própria. Além disso, é neutro em relação a operadoras (carrier neutral) e tem conexão direta com os principais PIX (pontos de troca de tráfego) do Brasil.;especifica_do_site;;;;Subestação elétrica própria;;;;['colocation'];;[];[];
dc_23c0e2a666;Ascenty - Hortolandia HTL2;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;Campinas;Brazil;-22.8949687;-47.1794405;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-2/;7.0;7.0;2991.0;2991.0;2019.0;Retrofitted;;1564.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;2;0;0;HTL02;7587.0;;;;;;;;;;;;;;
dc_2858682b7b;Scala Data Centers SGRUTB01;Scala Data Centers;Av. Ceci 1850;06460;Tamboré;Tamboré;Brazil;-23.4949636;-46.8111973;1;2;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/;21.0;21.0;;;2000.0;;Sole-tenant;;;;;;;;1.0;1.0;1.0;;1.0;1.0;;;;;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;0;19;0;0;SGRUTB01;5226.0;A Scala Data Centers oferece soluções por meio de suas instalações HyperCore e HyperEdge. Constrói data centers energeticamente eficientes em grandes campi (HyperCore) ou oferece unidades pré-fabricadas de rápida implantação (MiniPods) em localidades de borda (HyperEdge), permitindo que clientes entrem rapidamente em novos mercados e escalem de forma sustentável. A empresa detém um portfólio de terrenos superior a 21 milhões de pés quadrados em 57 propriedades estrategicamente localizadas na América Latina, próximas a grandes provedores de nuvem e a pontos de ancoragem de cabos submarinos, com conexões para América do Norte, Ásia, Europa e África. Atualmente possui mais de 60 MW de capacidade operacional na América Latina, com 900 MW adicionais em construção ou planejados. Destaca-se por manter o PUE mais eficiente da América Latina, abaixo de 1,4, e por alcançar WUE zero ao empregar resfriamento por ar nas instalações mais novas.;boilerplate_operadora;PUE abaixo de 1,4 (o mais eficiente da América Latina);WUE zero, por uso de resfriamento a ar nas instalações mais novas;;;Resfriamento a ar (air-cooling) nas instalações mais novas;;;['provedores de nuvem (hyperscale)', 'edge'];900 MW em construção ou planejados (além de mais de 60 MW operacionais);[];['data centers energeticamente eficientes', 'WUE zero com resfriamento a ar', 'PUE abaixo de 1,4'];
dc_2b7c5d95d1;Ascenty - Hortolandia HTL4;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;Campinas;Brazil;-22.8948579;-47.1789044;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl04/;3.0;3.0;1997.0;1997.0;2021.0;Retrofitted;;2520.0;N+1;1.0;1.0;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL04;11686.0;;;;;;;;;;;;;;
dc_3357273eaa;Ascenty - Hortolandia HTL3;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;Campinas;Brazil;-22.8942092;-47.1797024;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-3/;3.0;3.0;1997.0;1997.0;2019.0;Retrofitted;;1564.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL03;7588.0;;;;;;;;;;;;;;
dc_363da00599;Ascenty - Sao Paulo SP3;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;Osasco;Sao Paulo;Brazil;-23.491232;-46.7759313;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/;4.0;4.0;3995.0;3995.0;2020.0;Retrofitted;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;93;1;0;SP03;7581.0;O Data Center São Paulo 3 (Avenida Roberto Pinto Sobrinho, 350, Prédio nº 3) está localizado em São Paulo, o maior centro financeiro e corporativo da América do Sul. Possui 3.000 metros quadrados de área construída e 4 MW de capacidade total de energia, subestação elétrica própria e conexão direta com os principais PIX (pontos de troca de tráfego) do Brasil.;especifico_do_site;;;;Subestação elétrica própria;;;;[];;[];[];
dc_541dfaf17f;Ascenty - Paulinia PLN1;Ascenty Data Centers;R. Sebastião Cardoso 350;13140-000;Paulínia;Campinas;Brazil;-22.7970795;-47.1352301;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/r-sebastião-cardoso/;13.0;13.0;;;2019.0;Purpose-built;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;2;0;0;PLN01;7591.0;O Paulínia Data Center possui cerca de 86.000 pés quadrados (aprox. 8.000 m²) de área de piso elevado e 16 MW de capacidade total de energia, com subestação elétrica própria e conexão direta com o principal PIX (ponto de troca de tráfego) do Brasil. Paulínia tornou-se uma cidade estratégica após atrair um dos maiores polos petroquímicos da América Latina, e o data center está situado nessa localização privilegiada, na principal rodovia da cidade, com acesso rápido à capital do estado e a outras cidades da região.;especifico_do_site;;;;Subestação elétrica própria;;;;['colocation'];;[];[];
dc_5ee8bb7ed9;Ascenty - Vinhedo VIN1;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;Vinhedo;Campinas;Brazil;-23.0700044;-47.0118244;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/;27.0;27.0;20987.0;20987.0;;Purpose-built;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;22;1;1;VIN01;7589.0;Localizado próximo à cidade de São Paulo, o Data Center de Vinhedo é ideal para empresas que exigem segurança, estabilidade e localização estratégica para armazenar seus dados. Apresentado como o maior data center da América Latina, o site possui 430.500 pés quadrados (cerca de 40.000 m²) de área de piso elevado e 24 MW de capacidade total de energia, com subestação elétrica própria. Além disso, é um data center carrier-neutral e possui conexão direta com os principais PIX (pontos de troca de tráfego) do Brasil.;especifica_do_site;;;;Subestação elétrica própria;;;;['colocation', 'empresas que necessitam de armazenamento de dados', 'conectividade carrier-neutral'];;[];[];
