ano,classe,modelo,percentual,area_km2
2016,Vegetação,Random Forest,63.53,24.8178
2016,Vegetação,Rede Neural,64.73,25.2883
2016,Água,Random Forest,2.63,1.0262
2016,Água,Rede Neural,2.68,1.0458
2016,Construção,Random Forest,11.62,4.5403
2016,Construção,Rede Neural,11.92,4.6557
2016,Estrada,Random Forest,13.5,5.2728
2016,Estrada,Rede Neural,11.34,4.4309
2016,Outro,Random Forest,8.72,3.4079
2016,Outro,Rede Neural,9.33,3.6443
2017,Vegetação,Random Forest,66.88,26.1266
2017,Vegetação,Rede Neural,67.48,26.3606
2017,Água,Random Forest,2.67,1.0446
2017,Água,Rede Neural,2.8,1.0921
2017,Construção,Random Forest,11.49,4.4872
2017,Construção,Rede Neural,11.95,4.6673
2017,Estrada,Random Forest,12.96,5.0617
2017,Estrada,Rede Neural,11.07,4.3261
2017,Outro,Random Forest,6.0,2.3449
2017,Outro,Rede Neural,6.7,2.6189
2018,Vegetação,Random Forest,64.45,25.1757
2018,Vegetação,Rede Neural,65.55,25.6085
2018,Água,Random Forest,2.35,0.9169
2018,Água,Rede Neural,2.33,0.9102
2018,Construção,Random Forest,12.67,4.9512
2018,Construção,Rede Neural,12.95,5.0591
2018,Estrada,Random Forest,13.42,5.2426
2018,Estrada,Rede Neural,10.73,4.1924
2018,Outro,Random Forest,7.11,2.7786
2018,Outro,Rede Neural,8.43,3.2948
2019,Vegetação,Random Forest,66.77,26.0841
2019,Vegetação,Rede Neural,67.47,26.3574
2019,Água,Random Forest,2.6,1.016
2019,Água,Rede Neural,2.75,1.0752
2019,Construção,Random Forest,12.16,4.7498
2019,Construção,Rede Neural,12.43,4.854
2019,Estrada,Random Forest,13.18,5.1506
2019,Estrada,Rede Neural,11.12,4.3426
2019,Outro,Random Forest,5.28,2.0645
2019,Outro,Rede Neural,6.24,2.4358
2020,Vegetação,Random Forest,58.05,22.6788
2020,Vegetação,Rede Neural,61.86,24.1663
2020,Água,Random Forest,2.64,1.0329
2020,Água,Rede Neural,2.63,1.029
2020,Construção,Random Forest,12.9,5.041
2020,Construção,Rede Neural,13.6,5.3144
2020,Estrada,Random Forest,18.03,7.0453
2020,Estrada,Rede Neural,13.4,5.2364
2020,Outro,Random Forest,8.36,3.267
2020,Outro,Rede Neural,8.5,3.3189
2021,Vegetação,Random Forest,59.02,23.0544
2021,Vegetação,Rede Neural,62.97,24.5995
2021,Água,Random Forest,2.57,1.0037
2021,Água,Rede Neural,2.63,1.0269
2021,Construção,Random Forest,12.97,5.0682
2021,Construção,Rede Neural,13.88,5.4211
2021,Estrada,Random Forest,18.94,7.3976
2021,Estrada,Rede Neural,13.84,5.4051
2021,Outro,Random Forest,6.5,2.5411
2021,Outro,Rede Neural,6.69,2.6124
2022,Vegetação,Random Forest,63.43,24.7783
2022,Vegetação,Rede Neural,64.43,25.1681
2022,Água,Random Forest,2.51,0.9788
2022,Água,Rede Neural,2.65,1.0364
2022,Construção,Random Forest,12.43,4.8543
2022,Construção,Rede Neural,13.39,5.2293
2022,Estrada,Random Forest,14.89,5.8157
2022,Estrada,Rede Neural,11.62,4.5403
2022,Outro,Random Forest,6.75,2.6379
2022,Outro,Rede Neural,7.91,3.0909
2023,Vegetação,Random Forest,40.58,15.8536
2023,Vegetação,Rede Neural,50.38,19.6802
2023,Água,Random Forest,4.23,1.6513
2023,Água,Rede Neural,3.92,1.5301
2023,Construção,Random Forest,22.64,8.8447
2023,Construção,Rede Neural,17.77,6.9409
2023,Estrada,Random Forest,27.36,10.6893
2023,Estrada,Rede Neural,22.37,8.7385
2023,Outro,Random Forest,5.19,2.0261
2023,Outro,Rede Neural,5.57,2.1753
2024,Vegetação,Random Forest,64.67,25.2638
2024,Vegetação,Rede Neural,65.13,25.4423
2024,Água,Random Forest,2.26,0.8814
2024,Água,Rede Neural,2.31,0.902
2024,Construção,Random Forest,12.67,4.9488
2024,Construção,Rede Neural,13.94,5.4469
2024,Estrada,Random Forest,14.33,5.5996
2024,Estrada,Rede Neural,11.78,4.6031
2024,Outro,Random Forest,6.07,2.3714
2024,Outro,Rede Neural,6.84,2.6707
2025,Vegetação,Random Forest,63.82,24.9305
2025,Vegetação,Rede Neural,65.83,25.7167
2025,Água,Random Forest,2.46,0.9605
2025,Água,Rede Neural,2.6,1.017
2025,Construção,Random Forest,13.23,5.1677
2025,Construção,Rede Neural,13.66,5.3345
2025,Estrada,Random Forest,15.03,5.871
2025,Estrada,Rede Neural,11.79,4.605
2025,Outro,Random Forest,5.47,2.1353
2025,Outro,Rede Neural,6.12,2.3918
2026,Vegetação,Random Forest,65.95,25.7639
2026,Vegetação,Rede Neural,68.35,26.7016
2026,Água,Random Forest,2.49,0.9728
2026,Água,Rede Neural,2.64,1.0319
2026,Construção,Random Forest,12.73,4.9744
2026,Construção,Rede Neural,12.39,4.839
2026,Estrada,Random Forest,14.55,5.6859
2026,Estrada,Rede Neural,12.16,4.7518
2026,Outro,Random Forest,4.27,1.668
2026,Outro,Rede Neural,4.46,1.7407
